name,address,Crypto API,Crypto Task,Scheme,balance,compiler,txcount2
Lostgirl,0x43a16061986d2BCEe1FC5E7Ed132d5058EB25D68,sha3;,Commitment(Vector),sha3,0 Ether,0.8.9,1
Router,0x65c01002e6b2cf492de0d4874ff6705e295fc8b9,sha3;,Solidity(Create2),sha3,0 Ether,0.6.12,1
ZenAcademy,0xf64e6fB725f04042b5197e2529b84be4a925902C,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,9
TheEnigma,0x5298c6d5ac0f2964bbb27f496a8193ce78e8a8e6,sha3;,Random Number Generator,sha3,0 Ether,0.8.0,3
Kromatika,0x3af33bEF05C2dCb3C7288b77fe1C8d2AeBA4d789,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,2
LightClient,0x34b5378DE786389a477b40dD710812c250185f83,sha2-256;ecadd;ecmul;ecpairing;,Zero knowledge Proof,Groth16,0 ETH,0.8.16,1
IdleTokenGovernance,0x577d963246d28dbe0dc579048adda421b054924a,sha3;,Message Digest,sha3,0 Ether,0.5.16,1
PoolFunctionality,0x5C8D6509639fb942Cc8BB0a89c1Ab6960bd55102,sha3;ecrecover;,Solidity(Selector),sha3,0 Ether,0.7.4,1
PoolFunctionality,0x5C8D6509639fb942Cc8BB0a89c1Ab6960bd55102,sha3;ecrecover;,Solidity(Create2),sha3,0 Ether,0.7.4,1
PoolFunctionality,0x5C8D6509639fb942Cc8BB0a89c1Ab6960bd55102,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.4,1
MetaBillionaire,0xc6C817cd60E17Fed0AF2A759624e02Dd6c812E64,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,2
Bornless,0xafa1e41da1eec628d78ef6466f1a83b4dd31f024,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,6
CrossDelegateV2,0x7f70d0047Ae63131ab77F179a90F1a41CeEA93Aa,sha2-256;,Message Digest,sha2-256,0 Ether,0.4.26,1
GenArt721Minter_Flutter,0x8e80ceb80b1eea8334bf59668c07f5f52ac7251c,sha3;,Message Digest,sha3,0 Ether,0.5.17,1
Samurai2088,0xe64213B7BFBcb14c2F9CdfDD55EaBD5Aef17F6Aa,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,3
Synthopia,0x709ea840f66fb32A762908aFaE673610E169bf5a,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.10,1
MerkleDistributor,0xb7055d5ce6522fd009129f22e41db976379035d1,sha3;,Commitment(Vector),sha3,0 Ether,0.6.12,1
Minter,0x5EB8ad5467aBAf03F36a63f74FC1AC3f6a4aA757,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,30
TZKGMinter,0xe774BbaCAAD2915F3dB4d1Bb798523C610A33532,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,1
Surreal,0xBC4AEE331E970f6E7A5e91f7B911BdBFdF928A98,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,10
MineableWords,0x05fe017770d0ca164736537177e1d571d16bbade,sha3;,Message Digest,sha3,0 Ether,0.8.4,3
StudioUno,0x4834e620CFF02b44a68D416DA8a971a12228228c,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.6,91
Repo,0xa8a358e9bbb9ff60d4b89cbe5b2fe88f98b51b9d,sha3;,Message Digest,sha3,0 Ether,0.4.24,1
Dreamlands,0xe26F2c3547123B5FDaE0bfD52419D71BdFb0c4EF,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.7,2
MerkleDistributor,0x11ae08fC5124b244451884926baFe857316f7ccc,sha3;,Commitment(Vector),sha3,0 Ether,0.8.11,214
MerkleDistributor,0x8Cc3AD1Bc252a852d6975b0dF55DF499E0fb716d,sha3;,Commitment(Vector),sha3,0 Ether,0.6.11,732
ForeverRugs,0xa92ed7c28d1ef5a09e805365ac1d868c3326f3d3,sha3;ecrecover;,Signature,ecdsa+sha3,2.95 Ether,0.8.7,219
PPAShuttlepass,0xeba867502ef59adbd8bc73fbdb531ed9381b5f97,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,4
BAMBOO,0x4805F696E71FFC76049fE28a68f6Ded5EF0Af131,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,2
PatchworkKingdoms,0xD24a7C412f2279B1901E591898c1E96C140be8c5,sha3;,Commitment(Vector),sha3,0 Ether,0.8.4,3
XRC,0x534D37C630b7e4d2A6C1E064F3a2632739e9EE04,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,1
Dogewood,0x12e526bddbb1fa8db8f27b090de13dabe0d8e990,sha3;,Random Number Generator,sha3,0 Ether,0.8.7,1
CitaDaoProject,0x9f5a47429d263f5F6c0d3C7423364E73f6fc3174,sha3;,Commitment(Vector),sha3,6.375 Ether,0.8.9,425
MetroBlock,0x0e9d6552b85BE180d941f1cA73Ae3E318D2D4F1F,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,7
ERC20,0x42ca48648b355e64ef68330e1743a4FA7e310e67,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.10,1
